Utterance-LEV,Response-LEV,Utterance-EGY,Response-EGY
لاحظت انو طلعنا منحب نفس نوع الموسيقى؟,ايه لاحظت! لازم نلتقي و نسمع سوى,لاحظت انو طلعنا بنحب نفس نوع الموسيقى؟,اه لاحظت! لازم نتقابل و نسمع سوا
ياريت لو بيسمحولي فوت عالمكتبة,اشترك فيها بصير فيك كل يوم تفوت,ياريت لو يسمحولي اخش على المكتبة,اشترك فيها حتقدر تخش كل يوم
شو جهزت؟,لا بعد ازا مستعجل انطرني برا,جهزت ايه؟,لا لسة لو مستعجل استناني برا
هيدا صهرك؟,ايه. صرلو مجوز اختي عشر سنين هلأ عرفت؟,هو ده نسيبك؟,اه. متجوز اخني بقالو عشر سنين عرفت دلوقتي؟
وين قضيت راس السنة؟,سافرت انا والعيلة عباريس,قضيت فين راس السنة؟,سافرت انا والعيلة على باريس
واخيرا حطو غول!,لك ايه!! يمكن نربح الماتش,اخيرا حطوا جون!,ايوا بقا! يمكن نكسب الماتش
بدك نتغدى سوى نهار السبت؟,لا بعتذر مشغول ما فيني,عايز نتغدي مع بعض يوم السبت؟,لا بعتذر مشغول مقدرش
ليش عم تبكي؟,لأن كنت عم قطع بصل,ليه بتعيط؟,لأني كنت بقطع بصل
يا خيي بلش دمي يغلي بدك تحل عني او لا؟,يا عمي روق مش مستاهلة هلقد,يا اخويا بدا دمي يغلي حتسيبني في حالي ولا لا؟,يا عم روّق مش مستاهلة للدرجه ديه
ليك بتساعدني شوي بموضوع القروض؟,ايه اكيد. شو بدك تقدم؟,بص تساعدني شوية في موضوع القروض؟,اه اكيد. عايز تقدم ايه؟
شو بدي لفلك؟,بدي سندويش لبنة مع زيتون,عايزني الفلك ايه؟,عايز سندوتش لبنة مع زتون
كيف حيكون الطقس بكرا؟,شوب. قالوا عل اخبار انو درجة الحرارة حتكون ثلاثين,حيكون عامل اذاي الجو بكرا؟,حر. قالوا على الاخبار ان درجة الحرارة حتكون تلاتين
انا رايحة كزدر تروح معي؟,لا حبيبتي عندي درس,انا رايحة اتمشى تيجي معايا؟,لا حبيبتي عندي مذاكرة
لازم تترشح عالأنتخابات,ليش لازم؟ ليش أنا يعني ما في غيري ؟,لازم تترشح على الأنتخابات,ليه لازم؟ ليه أنا يعني مافيش غيري ؟
شو كنت ماشي تحت الشتا؟,ايه ما جبت معي شمسية,ايه انت كنت ماشي تحت الشتا؟,اه ماجبتش معايا شمسية
ليش ما رحت عل شغل؟,دقيت وقلتلن اني مريض,ليه مارحتش على الشغل؟,اتصلت بيهم وقلتلهم اني تعبان
شو كيف الجامعة؟,والله وجعت راس كبيرة,ايه اخبار الجامعة؟,والله وجع دماغ كبير
مش عارف على ايا جامعة بدي قدم,بتفضل الجامعة الخاصة او الرسمية؟,مش عارف اقدم على انهي جامعة,تفضل الجامعة الخاصة ولا الحكومية؟
كيف بدك تولع الصوبا؟,هلأ بجيب حطب مع شويت مازوت,حتولع الدفايا اذاي؟,دلوقتي حجيب حطب مع شوية غاز
هيدا اسوء نهار بحياتي عالأكيد,اوف ليش شو صاير؟,ده اسوء يوم في حياتي اكيد,اوف ايه الي حاصل؟
مستوى التلوث مرتفع وخطير كتير,صح وما في خطط لتنحل الأزمة,مستوى التلوث مرتفع وخطير جدا,صح و مافيش خطط عشان نحل الأزمة
شو بتحب نعمل الليلة؟,مش عارف. شو عبالك أنت ؟,تحب نعمل ايه انهردة بليل؟,مش عارف. ايه الي على بالك أنت ؟
ليك بتلزم حدوداك احسن ما كسرلك راسك.,خراس. عروف حالك مع مين عم تحكي,التزم حدودك احسن لافتحلك دماغك.,اخرس. اعرف نفسك بتكلم مع مين
اديه وزن الشنطة اللي معك؟,ما بعرف بس اكيد مش اكتر من عشرين كيلو,اديه وزن الشنطة اللي معاك؟,ماعرفش بس اكيد مش اكتر من عشرين كيلو
تجي تساعدنا بقطف الزيتون؟,ايه بجي اكيد. بأيا بستان منا نبلش,تيجي تساعدنا في قطف الزيتون؟,اه اجي اكيد. في انهي حنبدأ في انهي بستان
ممكن اطلب منك طلب وما تخيبني؟,اذا قدرت اكيد. شو بدك ؟,ممكن اطلب منك طلب وما تكسفنيش؟,لو قدرت اكيد. عايز ايه ؟
مهضوم استاذ الرياضيات,مش دايما. بحسو جدي كتير,دمه خفيف استاذ الرياضيات,مش دايما. بحسو جاد جدا
تروح عالصيد بكرا؟,لا مش جاي عبالي,تروح على الصيد بكرا؟,لا مش جاي على بالي
ممكن تعملي هالخدمة؟,شو هيي؟ شو بدك ؟,ممكن تعملي الخدمة ديه؟,ايه هيا؟ عايز ايه؟
حأعمل شاي اعمل حسابك؟,لا شكرا حبيبي,حأعمل شاي اعمل حسابك معايا؟,لا شكرا حبيبي
لك ليش مش عم تنقبر ترد؟,لك مش عم اسمعك منيح!,انت مبتردش ليه؟,يا عم مش سامعك كويس!
ايا ساعة بتخلص؟,بخلص عل ساعة خمسة,تخلص الساعة كام؟,اخلص على الساعة خمسة
شو في اخبار اليوم؟,مافي شي كلو عن الأنتخابات,ايه في اخبار انهردة؟,مافيش كله عن الأنتخابات
شي مرة مسافر على السفينة؟,ايه مرة وكانت بتقرف,سافرت قبل كدة على سفينة؟,اه مرة و كانت تقرف
شو منا نعمل,ما فينا نعمل شي,حنعمل ايه,منقدرش نعمل حاجة
شو كتابك المفضل؟,حيالا شي لجبران خليل جبران,ايه كتابك المفضل؟,اي حاجة لجبران خليل جبران
كيف بقدر ساعدك بهل حالة؟,متساعدني حل عني بس!,اقدر اساعدك اذاي بالحالة ديه؟,متساعدنيش سبني في حالي بس!
كيف نقيت المواد تعولك؟,ما نقيتن سجلت الموجود,نقيت المواد بتعتك اذاي؟,ما نقتهمش سجلت الي الموجود
حدا الك شي كرمال لون بشرتك؟,ايه كلن عنصريين,حد قلك حاجة عشان لون بشرتك؟,اه كلهم عنصريين
بتقدر تساعدني اوصل عالصف؟,وين الصف تعولك؟,تقدر تساعدني اوصل الفصل؟,فين الفصل بتاعك؟
تعا نلعب لعبة,تلعب شطرنج,تعالى نلعب لعبة,تلعب شطرنج
مين هيدي لي واقفة حد الشباك؟,ما بعرف اول مرة بشوفها,مين ديه الي واقفة جنب الشباك؟,ماعرفش اول مرة اشوفها
انا بنصحك تشتريها للسيارة مش ممكن تلاقي احسن,بفكر وبردلك خبر,انا بنصحك تشتري العربية مش ممكن تلاقي احسن منها,حفكر و ابقا اقلك
شو كيف كان نهارك,عادي حلو ما اشبو شي,ايه اخبار يومك,عادي حلو تمام
بتعرف تحكي فرنسي؟,ايه بلبل بالفرنسي,بتعرف تتكلم فرنساوي؟,اه عصفورة في الفرنساوي
كيف علاقتك بمدير الشغل تعولك؟,ماشي الحال. العلاقة رسمية متل ملازم تكون,علاقتك كويسه بالمدير بتاعك؟,ماشية الدنيا. العلاقة رسمية زي ملازم تكون
بأيا مدرسة حاطت ولادك؟,بالمدرسة الرسمية,في انهي مدرسة حطيت ولادك؟,في المدرسة الحكومية
بتقدر تنام بعد الضهر؟,ايه كل يوم بنام ساعة اوساعتين,بتعرف تنام بعد الضهر؟,اه كل يوم بنا ساعة او ساعتين
شو مابدك تفرجينا عل بيت؟,مبلا اكيد يلا الحقوني,ايه مش عايز تورينا البيت؟,اه طبعا اكيد تعالو ورايا
انا مسافر الخميس على دبي. بتوصيني شي؟,ليش ما خبرتني قبل؟ شو رايح تعمل,انا مسافر الخميس علي دبي. توصيني بحاجة؟,ليه ماقلتليش قبل كدة؟ رايح تعمل ايه
وين هل غيبة عاش مين شافك!,والله صرلي فترة مشغول. انت كيفك شو اخبارك؟,فينك من الغيبة ديه عاش مين شافك!,"والله بقالي فترة مشغول. انت عامل ايه, ايه اخبارك؟"
اليوم مثالي لنعمل جولة بالجنينة,بتصدق مش جاي عبالي اضهر اليوم,اليوم المثالي عشان نعمل جولة في الجنينة,تصدق مش جي على بالي اخرج انهردة
اتصلت فيك مبارح ليش ما رديت؟,كنت عم اتحمم وقت اتصلت,اتصلت بيك امبارح ليه ماردتش؟,كنت بستحمى لما اتصلت
ايمتى حتخلف مرت خيك؟,مش معروف ايمتىى بس مفروض اخر الشهر,حتخلف امتى مرات اخوك؟,مش معروف امتى بس المفروض اخر الشهر
لوين سافر خيك؟,سافر يشتغل بالسودان,سافر فين اخوك؟,سافر يشتغل في السودان
صرلنا من الصبح عم ندرس خلينا نرتاح شوي,ايه معك حق انا تعبت كتير,بقالنا من الصبح بنذاكر خلينا نرتاح شوية,اه معاك حق انا تعبت اوي
افضل محل للسكن هوي راس بيروت,ليش؟ مش غالي كتير؟,افضل مكان للسكن هوا راس بيروت,ليه ؟ مش غالي اوي؟
بدي روح عالمسمكة اشتري سمك. تروح معي؟,لا شكرا ما بدي روح. ازا في قريدس جيبي معك,عايز اروح على المسمكة اشتري سمك. تيجي معايا؟,لا شكرا مش عايز اروح. لو في جمبري جيبي معاكي
اهلا! اول مرة بتجي لعنا؟,لا مش اول مرة. انا مشترك هون وهاي بطاقة الأشتراك,اهلا! اول مرة تيجي عندنا؟,لا مش اول مرة. انا مشترك هنا و ديه بطاقة الأشتراك
